attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute21,attribute22,attribute23,attribute24,attribute25,attribute26,attribute27,attribute28,attribute29,attribute30,attribute31,attribute32,attribute33,attribute34,attribute35,attribute36,attribute37,attribute38,attribute39,attribute40,attribute41,attribute42,attribute43,attribute44,attribute45,attribute46,attribute47,attribute48,attribute49,attribute50,attribute51,attribute52,attribute53,attribute54,attribute55,attribute56,attribute57,attribute58,attribute59,class
0.052149,0.012573,0.002205,0.005543,0.010064,0.004117,0.010355,0.002581,0.00442,0.003797,0.009986,0.013775,0.005759,0.011227,0.009804,0.010765,0.004112,0.008169,0.006922,0.01657,0.007323,0.007303,0.017157,0.009103,0.018564,0.015877,0.021183,0.00967,0.012558,0.003815,0.007542,0.007461,0.01551,0.006766,0.006735,0.006586,0.008534,0.016196,0.017057,0.021292,0.009133,0.011286,0.008769,0.01869,0.009521,0.012408,0.008296,0.02109,0.026441,0.013724,0.019196,0.011169,0.014759,0.01121,0.013508,0.021337,0.009235,0.114264,0.204841,R/Normal
0.079396,0.014289,0.005619,0.007333,0.014224,0.006505,0.009826,0.006007,0.006298,0.006646,0.012264,0.014752,0.007563,0.009669,0.012078,0.010755,0.0066,0.007983,0.009606,0.014967,0.008398,0.007846,0.015925,0.007615,0.011028,0.014755,0.014859,0.008895,0.010783,0.006745,0.007542,0.008652,0.01414,0.0082,0.007669,0.011245,0.007635,0.010477,0.012369,0.013224,0.008745,0.01074,0.008997,0.015093,0.008944,0.008998,0.011935,0.015171,0.014325,0.009139,0.012267,0.009411,0.009327,0.012787,0.009432,0.012559,0.012021,0.107413,0.232304,R/Normal
0.096072,0.016212,0.004869,0.004823,0.014743,0.004227,0.006006,0.004963,0.004467,0.004128,0.007879,0.017105,0.005194,0.006246,0.007983,0.007013,0.007248,0.006668,0.00521,0.007878,0.005131,0.005611,0.02074,0.00759,0.00921,0.009024,0.008799,0.006494,0.009789,0.006882,0.006356,0.004884,0.008452,0.004997,0.005266,0.011996,0.007457,0.008165,0.007385,0.008054,0.006046,0.009036,0.009029,0.015106,0.006395,0.007667,0.013401,0.014896,0.017164,0.009506,0.01362,0.007457,0.009569,0.01702,0.008395,0.014346,0.013836,0.134521,0.271779,R/Normal
0.075994,0.01444,0.004801,0.006975,0.013675,0.005687,0.009231,0.005012,0.0058,0.005294,0.010425,0.014494,0.006832,0.009481,0.009585,0.009223,0.00611,0.007796,0.00865,0.016217,0.007582,0.00737,0.017229,0.008158,0.012435,0.014258,0.014935,0.008746,0.010749,0.006424,0.007897,0.009477,0.015569,0.007345,0.007278,0.010731,0.00778,0.010524,0.014569,0.016332,0.008794,0.010638,0.008414,0.013652,0.008128,0.009743,0.011644,0.016956,0.015883,0.009755,0.013687,0.009535,0.010693,0.013389,0.009831,0.013317,0.011383,0.110387,0.233061,R/Normal
0.073911,0.012903,0.00513,0.007187,0.014078,0.006192,0.009321,0.005264,0.006378,0.005057,0.0091,0.012768,0.007598,0.011053,0.010629,0.008741,0.006709,0.008218,0.011727,0.020111,0.009555,0.007715,0.017003,0.008353,0.011385,0.01785,0.018058,0.009426,0.010193,0.006609,0.008414,0.012517,0.020376,0.007615,0.007208,0.011201,0.008554,0.01234,0.019166,0.019594,0.008625,0.009749,0.008506,0.014489,0.010193,0.009672,0.010279,0.013331,0.013813,0.010293,0.012532,0.00909,0.009953,0.013615,0.009824,0.012273,0.010577,0.100538,0.21744,R/Normal
0.067346,0.013412,0.004424,0.007099,0.01216,0.006202,0.01052,0.004536,0.006227,0.006707,0.01284,0.013279,0.007224,0.010875,0.013546,0.012011,0.00627,0.008326,0.009154,0.014825,0.008829,0.007942,0.016483,0.008933,0.014276,0.016097,0.016336,0.008996,0.009954,0.005925,0.008094,0.009435,0.017907,0.008588,0.007636,0.009441,0.008911,0.013616,0.014617,0.01643,0.008994,0.009913,0.010559,0.019953,0.010867,0.010328,0.010563,0.020641,0.019953,0.011512,0.013444,0.011151,0.01158,0.012873,0.010597,0.013561,0.010301,0.099322,0.208458,R/Normal
0.036324,0.010716,0.00224,0.006337,0.007891,0.004968,0.012822,0.002134,0.004492,0.004708,0.013217,0.011895,0.006864,0.011614,0.012984,0.012629,0.003397,0.009248,0.010665,0.019908,0.007924,0.007233,0.013854,0.00923,0.024196,0.029693,0.032158,0.010362,0.010582,0.00344,0.00801,0.010346,0.024765,0.009329,0.007686,0.005204,0.008471,0.017443,0.022191,0.028863,0.010146,0.010354,0.010453,0.02329,0.011215,0.013492,0.007051,0.026813,0.033428,0.014528,0.016891,0.015386,0.016173,0.008884,0.016352,0.018251,0.007735,0.088798,0.154728,R/Normal
0.071534,0.015652,0.00475,0.007364,0.014458,0.006431,0.009713,0.004869,0.006589,0.00595,0.01059,0.01573,0.007301,0.010188,0.010589,0.011238,0.005149,0.007583,0.007558,0.014618,0.006879,0.008263,0.015919,0.007612,0.010679,0.012034,0.015803,0.009782,0.01271,0.005301,0.007786,0.007328,0.012891,0.006801,0.008197,0.010318,0.007809,0.0114,0.01201,0.015483,0.009678,0.01298,0.0077,0.014225,0.00747,0.010149,0.011793,0.012351,0.015741,0.010296,0.014871,0.007317,0.009771,0.012051,0.009836,0.014355,0.011327,0.118554,0.236676,R/Normal
0.092991,0.015846,0.005532,0.006096,0.015042,0.005314,0.008089,0.005274,0.005223,0.004799,0.009001,0.016004,0.005661,0.007286,0.008505,0.00793,0.007147,0.007388,0.00646,0.010166,0.005853,0.005978,0.0187,0.007958,0.009607,0.010013,0.010345,0.006993,0.009952,0.006918,0.006509,0.00624,0.011412,0.00675,0.006465,0.012383,0.007215,0.008238,0.009027,0.010137,0.007445,0.010445,0.008907,0.013185,0.006764,0.007886,0.01323,0.014546,0.013997,0.00889,0.012848,0.007767,0.009249,0.015514,0.008382,0.013231,0.01319,0.12482,0.263254,R/Normal
0.080505,0.015237,0.004811,0.006237,0.013416,0.005181,0.007705,0.005181,0.005513,0.005508,0.009416,0.015299,0.006719,0.008481,0.010452,0.009243,0.006445,0.007558,0.008052,0.013992,0.006896,0.00673,0.017494,0.007831,0.010049,0.012466,0.013729,0.008184,0.0106,0.006517,0.008201,0.008592,0.012346,0.006113,0.006099,0.010571,0.008057,0.011656,0.014775,0.014334,0.007798,0.010121,0.008929,0.01621,0.00934,0.009924,0.012025,0.015031,0.015802,0.009814,0.014016,0.007802,0.009299,0.013902,0.00907,0.013475,0.012291,0.11592,0.243044,R/Normal
