attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute21,attribute22,attribute23,attribute24,attribute25,attribute26,attribute27,attribute28,attribute29,attribute30,attribute31,attribute32,attribute33,attribute34,attribute35,attribute36,attribute37,attribute38,attribute39,attribute40,attribute41,attribute42,attribute43,attribute44,attribute45,attribute46,attribute47,attribute48,attribute49,attribute50,attribute51,attribute52,attribute53,attribute54,attribute55,attribute56,attribute57,attribute58,attribute59,class
0.084103,0.015241,0.005052,0.006108,0.014061,0.005178,0.007111,0.00537,0.005326,0.004858,0.008293,0.016033,0.006847,0.008162,0.009145,0.007977,0.006758,0.007882,0.009322,0.013519,0.0068,0.006677,0.018888,0.007991,0.010537,0.013422,0.01541,0.008453,0.010483,0.00658,0.007474,0.007211,0.011142,0.005818,0.00621,0.011516,0.008069,0.010087,0.011544,0.011695,0.007414,0.010205,0.008572,0.013843,0.008038,0.008904,0.012667,0.013288,0.014166,0.00971,0.013125,0.008295,0.009679,0.015217,0.00954,0.013659,0.013109,0.117196,0.25102,R/Normal
0.050268,0.015558,0.0035,0.00775,0.009105,0.00636,0.01254,0.003658,0.006778,0.008456,0.017879,0.015771,0.008735,0.014179,0.018845,0.017787,0.003838,0.008904,0.008474,0.015797,0.010433,0.009524,0.010988,0.008105,0.015979,0.015026,0.018631,0.012226,0.012485,0.003879,0.008559,0.007358,0.012085,0.008942,0.008848,0.006432,0.007961,0.015435,0.014356,0.017105,0.01099,0.012475,0.012024,0.025125,0.01053,0.012735,0.010612,0.025408,0.027604,0.011581,0.014421,0.011013,0.011754,0.007616,0.012968,0.014388,0.010889,0.096719,0.182612,R/Normal
0.057778,0.012201,0.003619,0.006735,0.013175,0.006252,0.011606,0.003776,0.006407,0.005397,0.010307,0.012408,0.007276,0.011825,0.011044,0.010891,0.004686,0.008231,0.009584,0.017416,0.008846,0.008738,0.016677,0.008827,0.014877,0.018909,0.020794,0.009957,0.012459,0.004867,0.007987,0.009283,0.018389,0.008765,0.008575,0.00918,0.008827,0.013786,0.016813,0.019862,0.009418,0.011913,0.008796,0.015772,0.009743,0.011443,0.008417,0.016545,0.019332,0.012559,0.016066,0.01062,0.012487,0.011836,0.011841,0.01602,0.00843,0.106923,0.204802,R/Normal
0.075001,0.015029,0.0048,0.006529,0.012764,0.005615,0.008579,0.004812,0.005841,0.006194,0.010474,0.015379,0.006839,0.009334,0.012282,0.012278,0.006371,0.007703,0.00753,0.013791,0.00761,0.007103,0.016672,0.007592,0.01135,0.012446,0.013428,0.008662,0.01071,0.006025,0.007435,0.007817,0.012627,0.00683,0.007049,0.010291,0.008135,0.011824,0.013401,0.013739,0.008059,0.010397,0.010607,0.022341,0.009045,0.009382,0.011788,0.016541,0.020312,0.010174,0.013265,0.009051,0.00975,0.012962,0.009664,0.013633,0.012194,0.111683,0.231262,R/Normal
0.039944,0.011229,0.001832,0.00586,0.009172,0.004164,0.011104,0.001989,0.004126,0.003577,0.009097,0.012206,0.006063,0.010435,0.008555,0.009748,0.003284,0.008832,0.009444,0.019916,0.006637,0.006736,0.015779,0.009192,0.022436,0.024484,0.029792,0.009992,0.011766,0.002924,0.008119,0.009039,0.019579,0.006961,0.006926,0.005785,0.008553,0.018628,0.021021,0.027983,0.009692,0.01116,0.00818,0.019214,0.010521,0.014049,0.007263,0.020794,0.029011,0.014964,0.020069,0.012936,0.016625,0.010234,0.016284,0.022255,0.007779,0.107914,0.178147,R/Normal
0.0868,0.016145,0.004516,0.005913,0.01359,0.005113,0.008045,0.004623,0.005042,0.005527,0.009802,0.016059,0.005538,0.007652,0.009807,0.009716,0.006804,0.007201,0.005774,0.008749,0.005682,0.00631,0.019514,0.008315,0.010617,0.008823,0.009843,0.007139,0.010443,0.006625,0.007211,0.006061,0.009518,0.006319,0.006474,0.010866,0.008029,0.009931,0.009538,0.010538,0.007481,0.010299,0.008994,0.014067,0.007571,0.00904,0.012723,0.014378,0.015875,0.010041,0.014696,0.008002,0.010188,0.016049,0.008982,0.014714,0.012713,0.124686,0.259292,R/Normal
0.06089,0.01168,0.004622,0.008362,0.015046,0.007416,0.012392,0.004441,0.006714,0.00562,0.011605,0.011267,0.007375,0.010855,0.009799,0.010616,0.005177,0.008706,0.012278,0.020726,0.008998,0.009153,0.017091,0.00879,0.013771,0.022948,0.022397,0.00919,0.01107,0.005383,0.008388,0.012345,0.023569,0.009919,0.010014,0.010878,0.008362,0.013773,0.020548,0.022625,0.010685,0.011304,0.007271,0.011981,0.010775,0.011082,0.008495,0.013913,0.013964,0.011506,0.013143,0.011192,0.011906,0.012418,0.011102,0.013072,0.008054,0.096035,0.197302,R/Normal
0.050633,0.015683,0.003532,0.00729,0.009708,0.006153,0.011871,0.003551,0.006224,0.008103,0.017977,0.015815,0.007843,0.014016,0.020423,0.018316,0.004067,0.008175,0.008194,0.016935,0.009961,0.009101,0.010607,0.007137,0.014622,0.015399,0.019445,0.0115,0.012579,0.0042,0.008069,0.007333,0.014494,0.008907,0.008442,0.006515,0.007456,0.014676,0.015756,0.017526,0.010622,0.012118,0.01109,0.027137,0.010103,0.012078,0.010897,0.025087,0.026412,0.010943,0.014518,0.010247,0.010556,0.007259,0.012138,0.014268,0.01101,0.097018,0.188268,R/Normal
0.072529,0.014263,0.005409,0.008131,0.01682,0.00728,0.010088,0.005157,0.007177,0.005761,0.009415,0.013852,0.007765,0.009762,0.0089,0.00999,0.005262,0.007733,0.010049,0.017856,0.007172,0.009112,0.016633,0.007603,0.010293,0.015604,0.018754,0.00974,0.012517,0.005645,0.008182,0.010149,0.015064,0.007576,0.009112,0.012549,0.007347,0.010142,0.016043,0.018497,0.010095,0.013022,0.006355,0.010481,0.007417,0.010321,0.01101,0.010992,0.01156,0.00916,0.013165,0.007726,0.009,0.012468,0.009667,0.012332,0.010418,0.113138,0.230739,R/Normal
0.080851,0.015486,0.005188,0.006676,0.013757,0.005385,0.007877,0.005295,0.005609,0.005552,0.008674,0.015789,0.007233,0.008638,0.009626,0.009138,0.00639,0.007812,0.010725,0.016748,0.006838,0.006816,0.016946,0.006959,0.010036,0.015,0.018305,0.009157,0.011184,0.006409,0.007355,0.008747,0.014099,0.006496,0.006494,0.011197,0.007523,0.0098,0.012614,0.014805,0.008423,0.010977,0.007881,0.013692,0.007927,0.009382,0.012599,0.011707,0.013621,0.009402,0.013539,0.007987,0.008841,0.013708,0.009732,0.012897,0.012253,0.114613,0.241593,R/Normal
