attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute21,attribute22,attribute23,attribute24,attribute25,attribute26,attribute27,attribute28,attribute29,attribute30,attribute31,attribute32,attribute33,attribute34,attribute35,attribute36,attribute37,attribute38,attribute39,attribute40,attribute41,attribute42,attribute43,attribute44,attribute45,attribute46,attribute47,attribute48,attribute49,attribute50,attribute51,attribute52,attribute53,attribute54,attribute55,attribute56,attribute57,attribute58,attribute59,class
0.073636,0.013101,0.005721,0.007373,0.013154,0.006049,0.009423,0.005358,0.006031,0.005684,0.010535,0.013248,0.00719,0.010152,0.011242,0.008966,0.006953,0.008537,0.012924,0.021897,0.00858,0.007194,0.015414,0.008096,0.01266,0.022666,0.020981,0.008794,0.010267,0.006593,0.008314,0.012459,0.02086,0.008119,0.007272,0.010501,0.007403,0.01065,0.019499,0.019765,0.008826,0.010136,0.007938,0.0125,0.009161,0.009702,0.010827,0.013542,0.012562,0.009237,0.01172,0.010694,0.009797,0.012468,0.010696,0.012619,0.01076,0.099329,0.214223,R/Normal
0.072834,0.014104,0.004552,0.006461,0.012487,0.00579,0.010117,0.004933,0.006182,0.007453,0.014738,0.01489,0.007272,0.010643,0.014072,0.012832,0.006072,0.008145,0.009847,0.017196,0.00868,0.007765,0.015541,0.007963,0.01219,0.015424,0.017366,0.00902,0.010699,0.005964,0.007522,0.008381,0.014427,0.008329,0.007175,0.010011,0.008096,0.011777,0.01407,0.01416,0.008017,0.009913,0.011081,0.017102,0.009152,0.009275,0.011005,0.018187,0.018463,0.0099,0.01286,0.009533,0.009981,0.012484,0.00978,0.012827,0.011679,0.102877,0.220704,R/Normal
0.072725,0.013534,0.005358,0.006705,0.013434,0.00607,0.008353,0.005228,0.005952,0.006358,0.010911,0.013956,0.007049,0.009107,0.011212,0.009785,0.006694,0.008165,0.011898,0.018064,0.007898,0.007255,0.016695,0.008055,0.011041,0.019639,0.019457,0.008787,0.009978,0.006309,0.007712,0.01076,0.016769,0.007331,0.007376,0.010633,0.008298,0.011975,0.016836,0.016926,0.008487,0.010313,0.00933,0.018413,0.009509,0.009685,0.011217,0.015212,0.015667,0.010203,0.012412,0.009154,0.009993,0.013613,0.010297,0.01244,0.011092,0.101416,0.221256,R/Normal
0.049501,0.012561,0.003289,0.007355,0.013139,0.006572,0.013886,0.003157,0.006328,0.005232,0.010487,0.012981,0.007245,0.013394,0.009846,0.012612,0.003504,0.008027,0.008183,0.018832,0.008994,0.009841,0.014818,0.007267,0.016555,0.018817,0.023614,0.011141,0.013876,0.003377,0.00767,0.008921,0.018406,0.009265,0.009973,0.008859,0.007103,0.014994,0.019996,0.025057,0.011618,0.014268,0.006403,0.013228,0.009385,0.012741,0.008445,0.014065,0.019281,0.01141,0.016303,0.01027,0.01229,0.009998,0.012997,0.0173,0.008633,0.109263,0.197424,R/Normal
0.05408,0.012125,0.003315,0.006941,0.011441,0.005466,0.012013,0.003283,0.005384,0.005094,0.01116,0.012931,0.006703,0.010778,0.009482,0.01059,0.004662,0.009266,0.010633,0.019096,0.008118,0.007521,0.016427,0.00867,0.018025,0.024068,0.025069,0.009552,0.011367,0.0045,0.00826,0.01021,0.021856,0.009007,0.007839,0.008055,0.008042,0.014838,0.019159,0.022869,0.009921,0.011115,0.007526,0.014676,0.009849,0.01205,0.008431,0.017967,0.018464,0.012074,0.015728,0.012424,0.012696,0.011398,0.013829,0.016999,0.008852,0.100898,0.197209,R/Normal
0.080684,0.014869,0.005519,0.006702,0.013986,0.005796,0.008223,0.005474,0.005917,0.005451,0.009053,0.014911,0.007258,0.009022,0.010596,0.008532,0.007214,0.008096,0.010035,0.01646,0.007694,0.006932,0.017582,0.007688,0.010425,0.015565,0.016371,0.008765,0.010369,0.006842,0.007506,0.008905,0.014187,0.007149,0.006992,0.01113,0.007853,0.01048,0.014135,0.0145,0.008143,0.010247,0.008095,0.013482,0.008574,0.009244,0.011812,0.012394,0.012633,0.009386,0.013004,0.008644,0.009426,0.014143,0.009811,0.013367,0.01214,0.111251,0.239338,R/Normal
0.081775,0.015032,0.005006,0.006883,0.013843,0.005736,0.009149,0.005146,0.00574,0.005614,0.010234,0.014686,0.00673,0.009215,0.010541,0.009307,0.006431,0.007295,0.007354,0.014091,0.007568,0.007057,0.017704,0.007822,0.010192,0.010861,0.012737,0.008205,0.010169,0.006804,0.007573,0.008273,0.013979,0.007563,0.007056,0.010789,0.007963,0.00996,0.01266,0.013992,0.008364,0.01068,0.009598,0.015392,0.00819,0.009153,0.012411,0.015765,0.015626,0.009741,0.01357,0.008219,0.009653,0.01419,0.008899,0.01318,0.012038,0.1154,0.2412,R/Normal
0.039263,0.010691,0.002504,0.007187,0.01033,0.005618,0.013092,0.002356,0.005139,0.004868,0.012148,0.010751,0.006283,0.012554,0.012304,0.012591,0.003446,0.008555,0.009594,0.022308,0.008658,0.00823,0.01487,0.008373,0.019886,0.02513,0.029013,0.010254,0.011297,0.003009,0.007784,0.011612,0.024611,0.009604,0.008806,0.006703,0.008052,0.017958,0.026009,0.032771,0.011008,0.011603,0.00873,0.018317,0.011289,0.013575,0.006876,0.020713,0.026823,0.013658,0.016561,0.012433,0.014914,0.009589,0.014272,0.018047,0.007071,0.094897,0.165412,R/Normal
0.073636,0.013101,0.005721,0.007373,0.013154,0.006049,0.009423,0.005358,0.006031,0.005684,0.010535,0.013248,0.00719,0.010152,0.011242,0.008966,0.006953,0.008537,0.012924,0.021897,0.00858,0.007194,0.015414,0.008096,0.01266,0.022666,0.020981,0.008794,0.010267,0.006593,0.008314,0.012459,0.02086,0.008119,0.007272,0.010501,0.007403,0.01065,0.019499,0.019765,0.008826,0.010136,0.007938,0.0125,0.009161,0.009702,0.010827,0.013542,0.012562,0.009237,0.01172,0.010694,0.009797,0.012468,0.010696,0.012619,0.01076,0.099329,0.214223,R/Normal
0.049749,0.017134,0.003202,0.007338,0.008855,0.005805,0.012706,0.003337,0.005954,0.008364,0.019876,0.017074,0.007394,0.012628,0.019348,0.018981,0.003685,0.008449,0.006645,0.013021,0.009028,0.008748,0.010225,0.007309,0.01516,0.013925,0.0171,0.011203,0.012353,0.003778,0.008125,0.006518,0.013166,0.009352,0.008248,0.006088,0.007288,0.014775,0.013269,0.016297,0.011453,0.011989,0.012057,0.02734,0.010085,0.012642,0.01204,0.028568,0.030131,0.011017,0.014927,0.010466,0.010982,0.007063,0.012675,0.014506,0.011959,0.099257,0.189341,R/Normal
